,IDs,Sequence,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Unnamed: 22
11,NonAllergen_7041,msdqpmnevqdnaapanpwlelrrltparialgrtgtslptcaqldfqaahaqardavhlafdhaaisaqlaekgretillhsaaadrdsylqrpdlgrrlndesaqtlrdyaaahpggldlavvvadglsalavhrhavpfltrleeqasaegwtlspvlmveqgrvavadeigellgakmvviligerpglsspdslglyftyapkvglndahrncisnvrleglsyamaahrllylmreackrqisgvslkdeaqlntlesddsaensdrkignflldgpavph,14.63,1.05,6.97,5.92,1.74,6.62,3.48,3.14,2.09,13.59,2.09,3.48,4.88,4.18,7.32,6.62,3.48,5.92,0.7,2.09,0
13,NonAllergen_45,mnelplhllnmrsltrdhiekliqranyfltqgmeknsvfetlkghvvanlffepstrtrnsfeiaakrlgamvlnpnlkisaiskgetlfdtiktleamgvyffivrhsenetpeqiakqlssgvvinagdgnhqhpsqalidlmtikqhkphwnklcvtiigdirhsrvanslmdglvtmgvpeirlvgpssllpdkvgndsikkftelkpsllnsdvivtlrlqkerhdnsvdidafrgsfrltpeklysakpdaivmhpgpvnreveinsdvadnqqsvilqqvrngvamrmavlelfllrdfrff,5.48,0.32,5.16,5.81,4.84,5.16,3.55,6.77,5.81,11.29,3.55,6.45,4.52,3.87,6.13,7.1,4.84,8.06,0.32,0.97,0
14,NonAllergen_5891,mgfqneassssytlkippparedspllgkgpplssqfktfanvfiavvgagvlglpyafkrtgwlmgvlllvsvsvlthhcmmllvytrrkldsfnagiskigsfgdlgfavcgslgrivvdlfiilsqagfcvgylifigttlanlsdpesptslrhqftrlgseflgvsskslyiwgcfpfqlglnsiktlthlaplsifadivdlgamavvivedsmiilkqrpdvvafggmslflygmgvavysfegvgmvlplesemkdkdkfgkvlalgmgfisliyiafgilgylafgedtmdiitanlgaglvstvvqlglcinlfftfplmmnpvfeiverrfsrgmysawlrwvlvlavtlvalfvpnfadflslvgsstccvlgfvlpalfhllvfkeemgwlqwssdtaivvlgvvlavsgtwsslseifsvkv,6.42,1.61,3.44,3.21,8.03,9.86,1.15,5.96,3.44,14.45,3.67,2.06,3.9,1.83,2.75,9.4,4.36,10.55,1.61,2.29,0
15,NonAllergen_3607,msisaagvatglganvelksnvgsssssvagvrlftsrkaqlrrcaapatsaslysdanydlnnykfapikesivaremtrrymtdmithadtdvvvvgagsaglscayelsknpnvkvaiveqsvspgggawlggqlfsamivrkpahrfldeievpyeemenyvvikhaalftstimskllarpnvklfnavaaedliirgdrvsgvvtnwalvaqnhntqscmdpnvmeakvvvsscghdgpfgatgvkrlrsigmiesvpgmkcldmnaaedaivkhtrevvpgmivtgmevaeidgsprmgptfgammisgqkaahlalkalglpneldgnykpnvhpelvlastddetasa,12.04,1.4,4.48,5.6,2.24,8.12,2.24,4.76,4.76,7.28,4.76,5.04,4.48,1.68,4.48,8.68,4.76,10.36,0.56,2.24,0
16,NonAllergen_5743,maqssyssgnstsdlnkivldylfkkgysrteamlrleissvgaipeeqqdwhigasetyvqvyillrdwidgtldlykpklqkvlypifvhsyldllqkndpemaiyffesfriehevlhgydiralaqlkiasdveeieiaqlyrknkyrinftrstfdllvqflfenevngsgiiirllnqyidikitmpqvegkedpnvqavyemdeakneqtiiseqegipghseqlldynkqsiqlglrplseevvttlknllevkdkdvegrnealnkilhpaknlvelltekenlinestlespsdpplpptkmkdidyfvslleseqnslilgknatdpsvfmytmhntlsavncaafsddasmfalgcadssihlysstnngpqplvgsqneplqksslightrpvfgvsispqkefilscsedgftrlwskdtkstivkyaghnapiwdvqfspfgyyfatashdqtarlwdvehaaplrvfvghqndvdcvsfhpnaaylatgssdhttrmwdvrtggtvrvfnahhspvsalcmsadglslasadesgiikvwdlrssnqhvsfvkhssivyslsfsydnkilvsggadtdvnfwdltyrnnlsdgeqspllfnfktkntiiqnlsftrrnyclalsss,5.76,0.93,6.39,6.23,4.36,4.83,2.96,6.23,5.14,10.44,1.71,5.76,4.05,4.36,3.43,10.59,5.14,6.39,1.25,4.05,0
17,NonAllergen_856,maktiaydeearrglerglnaladavkvtlgpkgrnvvlekkwgaptitndgvsiakeieledpyekigaelvkevakktddvagdgtttatvlaqalvreglrnvaaganplglkrgiekavekvtetllksakevetkdqiaataaisagdqsigdliaeamdkvgnegvitveesntfglqleltegmrfdkgyisgyfvtdaerqeavledpfillvsskvstvkdllpllekviqagkplliiaedvegealstlvvnkirgtfksvavkapgfgdrrkamlqdmailtggqviseevglslesadisllgkarkvvvtkdettivegagdsdaiagrvaqirteiensdsdydreklqerlaklaggvavikagaatevelkerkhriedavrnakaaveegivagggvallhaipaldelklegdeatganivrvaleaplkqiafngglepgvvaekvrnspagtglnaatgeyedllkagvadpvkvtrsalqnaasiaglfltteavvadkpekaaapagdptggmggmdf,14.05,0.0,6.1,9.98,1.66,10.17,0.37,5.73,7.76,9.8,1.29,2.77,2.96,2.22,4.25,3.88,6.1,9.61,0.18,1.11,0
18,NonAllergen_1308,msatgrapcglpriglgtavqgprpdpvraavlraiqlgyrhfdtaahyateapigeaaaeavrtglvasredlfvtskvwcadahrdrvlpalrrtlsnlqmeyvdlymvhwpvtmkagrftapftpedfepfdmravweameechrlglakaigvcnfsckkletllsfatippvvnqveinpvwqqrklrefcrakgiqlcaysplgakgthwgsdsvmdsgvlheiakskgktvaqvclrwvyeqgdclivksfdegrmkenldivdwelseeerqriskipqrkinqgrryvsehgpyksfeelwdgei,9.55,2.87,4.78,7.96,3.5,7.01,2.55,4.46,5.1,7.96,2.55,1.91,5.41,3.82,7.96,5.1,4.46,7.96,2.55,2.55,0
19,NonAllergen_5206,maskttfkdlqeipdfpkeeenilkfwdeinafkqqlektkdcppftfydgppfatglphygnllagtikdvvcryasqngkyverrfgwdchglpveyeidkklgitnrqevlkmgvdkynaecrsivmryaqewrsivnrfgrwvdfdndyktldlkfmesvwwvfkqmfdkglvyrgckvmpysngcatvlsnfetqqnykevddpslfiafktaedpktkfiawtttpwtlpsnlalvinkdfdyvkvldaktqehyilaecrlpelykkdkdgykilekfkgselvgreyeplfpyflsrkqdgcfrilagdfvtadagtgivhcapgfgdddykvsvanniikpddppvpvdenghftnvvsdfagvyikeadklirknlkerglllvdssfkhnypfcwrsdtpliykavhcwfikvtalkddllannkkaywvpkfaqegrfnnwlqnvsdwcfsrsrfwgnpipiwvsedfeevvcigsveelkkltgateitdlhkdfidhltipsqkgkgvlrridevfdcwfesgsmpygqqhypfsmneeefskrfpadfigegidqtrgwfytlnvistalrnsnpyknlivngivlaadgkkmskskknyddplliaskysvdairlyminsplvraeemsfksegvfavkkdiflpwynaykfliqsitrwelatgkdymfneqlsvdttkltnptdrwiiiscqnlinyvriemekyhlynvvprlihflenltnwyirlnrnrlkgdygleeqetslnvlfnvilnstilmsplvpfitesfyqnlrkvipkgssyleesihflriptpkqelldekiernfermqniinfartlrekrkvslkqpimsltvinqdqefhdslkdyiqyiedeintpsilheintanyvdlkaipnhkllgqklgkeynkdlkaaagnlsakdietlkttgsidlvgkkllledftitqnykkeyssgdlelggegevilllnlaqdeklkskglvreftsnvqktkkktglkvddniviyydvtkapklnaaiqsdleavqkvlkkplvplseknaalkivenslltfqvdeesvtieiaya,4.9,1.39,6.66,7.12,5.37,5.0,1.48,6.75,9.34,9.71,1.48,5.92,4.35,3.24,3.89,5.46,5.09,6.48,1.94,4.44,0
20,NonAllergen_4131,mertflmikpdavqrnligevisrierkglklvggklmqvpmelaethygehqgkpfyndlisfitsapvfamvvegedavnvsrhiigstnpseaspgsirgdlgltvgrniihgsdslesaereinlwfneneitsyasprdawlye,6.04,0.0,4.03,10.07,3.36,8.72,2.68,8.72,3.36,8.05,3.36,5.37,4.7,2.01,6.04,8.72,4.03,6.71,1.34,2.68,0
21,NonAllergen_6585,mhvldgssgggqlvrtaltcaavsgesfrmryvrrarsnpglqaqhcaavnavadicdaatdgvevgseafsfepevaaeeadddeeptlggttsvevgtagsiplvfdsllplagaldepitatltggtdakwappmdyfqhvklpllrehgidatvsvdrrgfyprgggeatltvepstptpitltergdrealtaysvaessladdevaeqqataaapdaaheiaytdadsagsavvlaaeyehsragfaalgergvsadavgenaadalaafesgpgavdshladqlvpvvavaggevrapevtthietcvdllaefdydidiehtddgavvlsa,17.11,1.18,8.55,8.85,2.65,9.14,2.65,2.65,0.59,7.67,0.88,0.88,5.01,2.06,4.42,6.49,7.37,9.44,0.29,2.06,0
22,NonAllergen_854,msvdaatvrriahlariavsegevphlqgelnamlafveqlsevnvegveamtsvtpmqmkkrqdvvndgeiaddivanapateghfflvpkvve,12.63,0.0,5.26,10.53,3.16,5.26,3.16,4.21,3.16,6.32,5.26,4.21,4.21,4.21,4.21,4.21,4.21,15.79,0.0,0.0,0
23,NonAllergen_9033,meykkiiaqnkkalfnyfieerleagivlkgsevqslrqgkasieeshaadtgnevflynchiaeyekanrfnhstrrprklllhkkeinkiigrtkikgytlvalsmyfnkknkikielgiakgkklhdkresikekdwkrdqsrlirqk,6.62,0.66,2.65,9.27,3.31,5.3,3.31,9.93,16.56,8.61,1.32,5.96,0.66,3.31,7.28,5.3,2.65,2.65,0.66,3.97,0
24,NonAllergen_5167,mtdenirqiafygkggigksttsqntlaamaemgqrimivgcdpkadstrlmlhakaqttvlhlaaergavedlelhevmltgfrgvrcvesggpepgvgcagrgiitainfleengayqdldfvsydvlgdvvcggfampiregkaqeiyivtsgemmamyaanniargilkyahsggvrlgglicnsrktdreaelienlaerlntqmihfvprdnivqhaelrrmtvneyapdsnqgqeyralakkiinndkltiptpiemdeleallieygildddskhaeiigkpaeatk,10.17,1.69,5.42,8.81,2.03,9.83,2.37,8.47,4.41,8.14,4.41,4.75,3.05,3.39,5.76,3.39,5.42,5.42,0.0,3.05,0
25,NonAllergen_1477,maaltrnkkkgsnsqtpplnkqtkasplkkaaktqkpplkkqrkcisekkplkkpevstdeeeeeeeneqsdegsesgsdlfsdgdeegnndsddddddddddddddedaeplaedfldgsdneevtmgsdldsdsggsklerksraidrkrkkevqdaddefkmnikekpdefqlptqkeleeearrppdlpslqmrireivrilsnfkdlkpkgdkherndyvgqlkadlssyygynefligtliemfpvvelmelieafekkrptsirtntlktrrrdladillnrgvnldplskwskvglivydsqvpigatpeylagfymlqsassflpvmalaprekervvdmaaapggkttyvaalmkntgiiyanemkvprlkslsanlhrmgvtntivcnydgreltkvlgqssvdrvlldapcsgtgviskdesvktsksaddikkfahlqkqlilgaidlvdansktggyivystcsvmipeneavidyalknrdvklvpcgldfgrpgfssfrehrfhpslektrrfyphvhnmdgffvaklkkmsnamqpsgndepavtmeqaqvsssddddekaeaieelekppvasgqpkresntkedtnkrknprskeihkgkrnkntktesgnveeprkqkkkrsqwkneiaqareekrktmrenaketpkhrg,6.26,0.75,8.94,9.54,2.68,5.51,1.34,3.87,11.03,7.6,2.68,4.92,5.51,3.28,5.96,7.9,4.62,5.22,0.3,2.09,0
26,NonAllergen_2026,meemtvqsnqssypiyigqglryqlssyiekkytklfiitddqvgsrylkdvlhgypseenichftipsgessksidnfyrlqtealqngldrhsliialgggvvgdlaglvaatfmrgidyiqvpttilahdssvggkvainhhlgknligsffppvaviydietlstlppheirsgyaeivkeglianqkmflslldhslasikphqleiylkagiqvksriveqdekeanirkflnlghtlghaletihgygnithgeavangllfalhvseyefeiqlpfyqlyqwlkdneypilsfseeeitqlielmktdkksvggtiqmvllkevedpvtvsldnsmmkqhlstylermekl,4.74,0.28,4.18,8.08,3.34,7.52,4.18,8.91,5.85,11.98,2.51,3.62,3.34,5.01,2.51,7.8,5.01,5.85,0.28,5.01,0
27,NonAllergen_2110,mdrtkskssgfltlsagalgvvygdigtsplytvreifggayaiqltqenilgalslifwalfiivavkyvvfvmhadnhgeggimaltalalrqrhrrkhrawiislglfgtalfygdgmitpaisvlgameglgiataalshyvvpasilillalfliqrrgtervgrlfgpimllwflsigtlgfvslrqtpevlaalnplhgfrfltahqglgfaalgavvlavtgaealyadmghfgkapirvtwfavvfpslilnylgqgallirnpeavqnpfyllvpewalypmiglataatviasqavisgafslthqaiqldylprqrmvhtsesergqiyapavnrlllisvlalvlafgsssrlasayglavvgtmvvttllalvvahdtwrwpglallvtgavllsvdlsfltanlaklgdggwiplslglilatvmstwkkgrdvlfarlqqeseslsrflqrltdepppfrpvgtaifltarnlslpfallrnyehnqvihqrvilltmttldkpyaaekekitiealehnffrittrfgfmerpnvlrmlnlcrhaglhidleqttfflgretlirsaerglnrweevlfismfrnaynptgyfklpvdrvvelgtviai,10.7,0.16,2.24,4.15,5.59,8.31,2.56,6.39,1.92,15.65,2.4,2.72,3.99,3.04,6.39,5.27,6.55,7.67,1.6,2.72,0
28,NonAllergen_912,maeasslvgkleteveikasakkfhhmfterphhvskatpdkihgcelhegdwgkvgsiviwkyvhdgkltvgknkieavdpeknlitfkvlegdlmneyksfaftlqvtpkqgesgsiahwhleyekiseevahpetllqfcveiskeidehllaee,6.33,1.27,3.8,13.92,3.8,6.33,6.96,6.33,10.76,8.23,1.9,1.9,3.16,1.9,0.63,6.33,5.06,7.59,1.9,1.9,0
29,NonAllergen_8141,msaphsalqaeldaaqspylafrgigksfpgvlalddisftcqagqihalmgengagkstllkilsgnytptqgeihikgkavnftnttdaldagvaiiyqelhlvpemtvaeniylgqlptkmgmvdrkllryesriqlshlgldidpdtplkylsigqwqmveiakalarnakiiafdeptsslsareieqlfrvirelraegrvilyvshrmeeifalsdaitvfkdgryvrtfddmtqvnnaslvqamvgrnlgdiygyqpreigserltlqavkaigvaspisltvhqgeivglfglvgagrsellkglfgdtkltsgkllldgqpltirspidaisagimlcpedrkadgiipvhsvqdninisarrktltagclinnrweadnallriqslniktpgpqqlimnlsggnqqkailgrwlsedmkvilldeptrgidvgakheiynviyqlakqgiavlfassdlpevlgladrivvmregaisgeldheyateeqalslamlrtpniatntasava,9.75,0.57,5.35,5.74,2.29,8.41,1.91,8.8,4.21,12.05,2.68,3.82,3.82,4.97,5.35,6.31,5.16,5.74,0.57,2.49,0
30,NonAllergen_4356,maqitmsdmlkaglhfghqtrrwnpkmkqfiltqrngihiinlfksldmidkaydfikatvahngtvlfvgtkkqaqeavsaqatrvnmpyvserwlggmltnfqtvskrvsrlkeleemdftdvhgsgltkkellllerekdklakqlggirnmnrtpsamfvvdvnkealaveeahklgipvvaivdtnadpesveypiaanddairgielltslmadavaegllersgkaakaegeaeqpmaawekelltegapaaeapaeaegetkae,12.87,0.0,4.78,9.93,2.94,6.62,2.21,4.78,7.72,9.56,4.41,4.04,3.31,3.68,4.41,4.04,5.88,6.62,1.1,1.1,0
31,NonAllergen_424,mdsvdrflytsdhdgflaltretwqnrwfpsqiplhldvshvhqlsdadkdfyrflftflgmaerlvnfniedlvtnfnshdvahyyaeqvamenihgvvyanilkiffnnsrgellayaakiildpalceklewlhsrvrkattkaqkilmflivegiyfissfysislcrvrgimpgvclandyisrdellhtkaasmlyntmveiqekpshaevqalfreavnieirfiqakaagvtlvnvvdirrfleatadrilrdifvppifgtpppeacplsytgsfkavnfferdnsdyttcvtddl,8.52,1.64,6.56,5.9,7.21,3.28,3.28,7.21,3.61,9.84,2.3,4.92,3.61,2.62,5.9,5.9,5.25,7.54,0.98,3.93,0
33,NonAllergen_8707,mpdflsitlsgvppsltsgetsnlkwqwvdegvlmltphgacsqsvvlsagihgnetapieilnqlvsdllasqlplavrllvilgnppairageryltadinrmfggryknhsltdearraeileqkvgeffasdplslrlhydlhtairgshhnrfgllpyrttpycaamlrwlkdseldalvmhtsaggtfahfssefcqaasctlelgkalpfgqnqleqfrpitaglralvsggqlptrsteamifyrvvksllkqhadfklwvaddtvnftrypqgtlmieqlnehycveheyewilfpnprvalglragimlvqmdendllqa,8.48,1.52,4.24,6.06,4.24,6.97,3.64,4.24,2.42,14.24,2.73,3.64,5.15,4.55,5.76,6.67,5.76,5.45,1.52,2.73,0
35,NonAllergen_2019,mtetsptpvldtaqarvlgcliekeattpdaypltvnaaqvaanqktarepvlnlqtgvvhhalrqlenlglvrqqfcsraeryehrlgsvldltrqqvaliglllrgpqtlgelyarserlarfadtddvrhhldrliqrglaaqlprasgqredryahllsgeldvealqaataraaqgarsgsdtselearvqsleatvadmqdalaalqarlnaaga,16.29,0.9,5.43,6.79,0.9,5.88,2.71,1.36,0.9,14.93,0.9,2.26,3.17,8.14,9.95,4.52,6.79,6.33,0.0,1.81,0
37,NonAllergen_2574,mprndtvraldwqgdhlklldqrrlpaetvwldchsaadtadairdmvvrgapaigiaaaygvvlaaraamarrpadwpaamaadlarlrsarptavnlfwaldrmqqvvdsdpadplaaleaaavaiheddltanrrmgelgahlipagagvlthcntgslatggygtalgvirsawsgkglsavyadetrpwlqgarltawelvadgipvrliaegaapllmqrgrvdwvivgadrvaangdtankigtyalalackahgvkfmvvapsstidldcpggdripieerppeellwlgdrrvaaegagawnpvfdvtpaelidvlvtergvvtdfggagvraling,18.21,1.16,8.09,4.05,1.16,9.54,1.73,4.34,1.45,10.12,2.31,2.31,5.49,1.73,8.09,2.6,4.91,8.67,2.89,1.16,0
38,NonAllergen_8296,meystgqhllvvpeikkyvltntfsgeehivteqmlksafkdeynkimsnrnsawtvtdfye,3.23,0.0,3.23,11.29,4.84,3.23,3.23,4.84,8.06,6.45,4.84,6.45,1.61,3.23,1.61,8.06,9.68,8.06,1.61,6.45,0
39,NonAllergen_2940,mvelktfllyavtalaeiagcylpwlwlrqdrsawllvpgaaclalfawlltlhpaaagrvyaayggvyvavalgwlwavdgirpdrwdlagaavtlagmaiiafaprgaa,23.42,1.8,3.6,1.8,2.7,9.01,0.9,3.6,0.9,16.22,1.8,0.0,4.5,0.9,5.41,0.9,3.6,8.11,6.31,4.5,0
40,NonAllergen_1413,mttqleqawelakqrfaavgidveealrqldrlpvsmhcwqgddvsgfenpegsltggiqatgnypgkarnaselradleqamrlipgpkrlnlhaiylesdtpvsrdqikpehfknwvewakanqlgldfnpscfshplsadgftlshaddrirqfwidhckasrrvsayfgeqlgtpsvmniwipdgmkditvdrlaprqrllaaldeviseklnpahhidavesklfgigaesytvgsnefylgyatsrqtalcldaghfhptevisdkisaamlyvpqlllhvsrpvrwdsdhvvllddetqaiaseivrhdlfdrvhigldffdasinriaawvigtrnmkkallralleptaelrkleaagdytarlalleeqkslpwqavwemycqrhdtpagsewlenvrtyekeilsrrg,10.02,1.19,6.92,7.16,3.34,5.73,3.58,5.25,3.82,10.98,1.91,3.1,4.53,4.3,6.92,6.44,4.3,5.49,2.63,2.39,0
41,NonAllergen_6974,mwksviylfvlllgviraedvkdlrnnevsikgrlelseidisaymiprcsfrlyqignysadkpfhqitrikdkngtfefnhvpinhgvnestyfvmtpssrdfnllpqrvlvevtnifnettgkveqqlkafrnyfgreyfpskdihfpdkleemdalpyisikmskmlpfrdylqqrnvgllqsgplagilnskwkiaavitllalmtfpylvekldpetaramkeearkkqrekyvvkee,4.92,0.41,4.51,7.79,5.74,4.1,1.64,6.97,8.2,10.25,3.28,5.33,4.92,3.69,6.15,5.74,4.1,6.97,0.82,4.51,0
42,NonAllergen_7539,maavavlrndslqaflqdrtpsaspdlgkhsplallaatcsrigqpgaaaapdflqvpydpalgspsrlfhpwtadmpahspgalppphpslgltpqkthlqpsfgaahelpltppadpsypyefspvkmlpssmaalpascapayvpyaaqaalppgysnllpppppppppptcrqlspapapddlpwwsipqsgagpgssgvpgtslssacagpphaprfpasaaaaaaaaaalqrglvlgpsdfaqyqsqiaallqtkaplaatarrcrrcrcpncqaaggapeaepgkkkqhvchvpgcgkvygktshlkahlrwhtgerpfvcnwlfcgksftrsdelqrhlrthtgekrfacpecgkrfmrsdhlakhvkthqnkklkvaeagvkrenprdl,15.33,3.52,3.27,2.51,3.02,6.78,4.27,0.75,4.77,9.55,1.26,1.51,14.82,4.52,5.53,7.79,4.02,3.52,1.26,2.01,0
43,NonAllergen_6503,mieidgsfgegggqilrtsltlsiitgkpfrifniranrpnpglqrqhlwavkamkmisnaetkgdevgskelifvpheikgntnidmdvgtagsvtliiqtvlpaiinknvririkggtdvpksptidyirlvyleilrkigieaklnlikrghypegggeviienvngnpsafsllelgkltiikgishvsslpahiaerqmnsareilsklgvpieietdvrqgevskgsgialaaigeksiigadslgergkraeivgeeaarilinnlntkasvdihmsdmlmifaslyggeyigaeltshaytnmeiikkfldikidvsgkrpfrfkakif,6.82,0.0,3.56,7.42,2.97,10.39,2.08,13.95,7.42,8.31,2.67,5.04,3.56,1.78,5.34,6.82,4.45,5.34,0.3,1.78,0
